data_source,technique
DS0026,T1222
DS0026,T1037
DS0026,T1484
DS0026,T1550
DS0026,T1003
DS0026,T1033
DS0026,T1207
DS0026,T1556
DS0026,T1558
DS0026,T1649
DS0026,T1098
DS0026,T1615
DS0026,T1134
DS0026,T1531
DS0015,T0817
DS0015,T0801
DS0015,T1550
DS0015,T1557
DS0015,T1213
DS0015,T1199
DS0015,T1110
DS0015,T0800
DS0015,T1078
DS0015,T1069
DS0015,T0820
DS0015,T0843
DS0015,T1212
DS0015,T1114
DS0015,T1562
DS0015,T1189
DS0015,T0861
DS0015,T1598
DS0015,T0830
DS0015,T1211
DS0015,T0803
DS0015,T0855
DS0015,T1200
DS0015,T1558
DS0015,T0858
DS0015,T1610
DS0015,T1133
DS0015,T0865
DS0015,T0890
DS0015,T1622
DS0015,T0866
DS0015,T1594
DS0015,T0889
DS0015,T0864
DS0015,T1003
DS0015,T1203
DS0015,T0807
DS0015,T1499
DS0015,T0845
DS0015,T1210
DS0015,T0860
DS0015,T0839
DS0015,T0814
DS0015,T0848
DS0015,T1649
DS0015,T1098
DS0015,T0838
DS0015,T0816
DS0015,T1564
DS0015,T1505
DS0015,T0822
DS0015,T1190
DS0015,T0857
DS0015,T0806
DS0015,T1621
DS0015,T0811
DS0015,T0821
DS0015,T1204
DS0015,T1137
DS0015,T1534
DS0015,T0836
DS0015,T1491
DS0015,T1556
DS0015,T0804
DS0015,T1648
DS0015,T1027
DS0015,T1566
DS0015,T1072
DS0015,T0819
DS0015,T0805
DS0015,T0863
DS0039,T0889
DS0039,T0843
DS0039,T0877
DS0039,T0821
DS0039,T0836
DS0039,T0848
DS0039,T0838
DS0039,T0835
DS0037,T1588
DS0025,T1546
DS0025,T1046
DS0025,T1562
DS0025,T1526
DS0025,T1648
DS0010,T1619
DS0010,T1485
DS0010,T1537
DS0010,T1486
DS0010,T1580
DS0010,T1530
DS0017,T1037
DS0017,T0852
DS0017,T1113
DS0017,T1036
DS0017,T1052
DS0017,T1110
DS0017,T1040
DS0017,T1078
DS0017,T0823
DS0017,T1070
DS0017,T1059
DS0017,T0809
DS0017,T0859
DS0017,T1011
DS0017,T1049
DS0017,T1562
DS0017,T1053
DS0017,T1120
DS0017,T1547
DS0017,T1082
DS0017,T1056
DS0017,T1136
DS0017,T1201
DS0017,T1574
DS0017,T1622
DS0017,T0849
DS0017,T1217
DS0017,T1518
DS0017,T1025
DS0017,T1570
DS0017,T1564
DS0017,T0842
DS0017,T0872
DS0017,T0811
DS0017,T1569
DS0017,T1047
DS0017,T1123
DS0017,T1561
DS0017,T1039
DS0017,T1550
DS0017,T1480
DS0017,T1135
DS0017,T1069
DS0017,T1041
DS0017,T1114
DS0017,T1609
DS0017,T1046
DS0017,T1489
DS0017,T1012
DS0017,T1098
DS0017,T1542
DS0017,T0886
DS0017,T0867
DS0017,T1555
DS0017,T0840
DS0017,T1563
DS0017,T1497
DS0017,T1087
DS0017,T1552
DS0017,T1140
DS0017,T1027
DS0017,T1125
DS0017,T0863
DS0017,T1112
DS0017,T0853
DS0017,T1222
DS0017,T1124
DS0017,T1558
DS0017,T1018
DS0017,T1567
DS0017,T1010
DS0017,T1074
DS0017,T1033
DS0017,T1486
DS0017,T1055
DS0017,T1490
DS0017,T1649
DS0017,T1134
DS0017,T1115
DS0017,T0881
DS0017,T1529
DS0017,T1485
DS0017,T1020
DS0017,T1137
DS0017,T1006
DS0017,T1218
DS0017,T1127
DS0017,T1216
DS0017,T1546
DS0017,T1197
DS0017,T1553
DS0017,T1496
DS0017,T1560
DS0017,T1007
DS0017,T1484
DS0017,T1005
DS0017,T1543
DS0017,T1615
DS0017,T1482
DS0017,T0802
DS0017,T1003
DS0017,T1057
DS0017,T0807
DS0017,T1647
DS0017,T1548
DS0017,T1083
DS0017,T1119
DS0017,T1614
DS0017,T1505
DS0017,T1204
DS0017,T1048
DS0017,T1016
DS0017,T1556
DS0017,T1021
DS0017,T1202
DS0017,T1176
DS0032,T1053
DS0032,T1204
DS0032,T1611
DS0032,T1610
DS0032,T1613
DS0038,T1584
DS0038,T1583
DS0016,T1091
DS0016,T1052
DS0016,T0847
DS0016,T1006
DS0016,T1014
DS0016,T1092
DS0016,T1200
DS0016,T1561
DS0016,T1542
DS0027,T1003
DS0027,T1562
DS0027,T1111
DS0027,T1547
DS0027,T1055
DS0027,T1543
DS0027,T1561
DS0027,T1056
DS0027,T1068
DS0027,T1542
DS0022,T1037
DS0022,T1036
DS0022,T1539
DS0022,T1052
DS0022,T1078
DS0022,T1070
DS0022,T0809
DS0022,T1011
DS0022,T1053
DS0022,T1547
DS0022,T1056
DS0022,T1574
DS0022,T0849
DS0022,T1217
DS0022,T1025
DS0022,T1554
DS0022,T1570
DS0022,T1564
DS0022,T0872
DS0022,T1105
DS0022,T0811
DS0022,T1569
DS0022,T1039
DS0022,T1601
DS0022,T0873
DS0022,T1041
DS0022,T1114
DS0022,T1091
DS0022,T1195
DS0022,T1489
DS0022,T1098
DS0022,T0886
DS0022,T0867
DS0022,T1555
DS0022,T0862
DS0022,T1087
DS0022,T0846
DS0022,T1552
DS0022,T1140
DS0022,T1027
DS0022,T1566
DS0022,T0863
DS0022,T1222
DS0022,T1014
DS0022,T1558
DS0022,T1018
DS0022,T0865
DS0022,T1567
DS0022,T1074
DS0022,T1033
DS0022,T1486
DS0022,T1055
DS0022,T1490
DS0022,T1649
DS0022,T1187
DS0022,T0881
DS0022,T1080
DS0022,T1485
DS0022,T1020
DS0022,T1137
DS0022,T0888
DS0022,T1218
DS0022,T0817
DS0022,T1546
DS0022,T1553
DS0022,T1496
DS0022,T1560
DS0022,T1189
DS0022,T1005
DS0022,T1565
DS0022,T1543
DS0022,T0802
DS0022,T1003
DS0022,T1647
DS0022,T1548
DS0022,T1119
DS0022,T1505
DS0022,T1491
DS0022,T1048
DS0022,T1204
DS0022,T1556
DS0022,T0847
DS0022,T1600
DS0022,T1176
DS0018,T1070
DS0018,T1562
DS0018,T1518
DS0001,T0857
DS0001,T1014
DS0001,T1495
DS0001,T0839
DS0001,T0851
DS0001,T1542
DS0001,T1564
DS0036,T1087
DS0036,T1069
DS0036,T1098
DS0007,T1525
DS0007,T1485
DS0007,T1036
DS0007,T1204
DS0007,T1612
DS0007,T1564
DS0030,T1535
DS0030,T1485
DS0030,T1204
DS0030,T1580
DS0030,T1578
DS0035,T1588
DS0035,T1592
DS0035,T1189
DS0035,T1105
DS0035,T1598
DS0035,T1204
DS0035,T1203
DS0035,T1573
DS0035,T1587
DS0035,T1553
DS0035,T1102
DS0035,T1608
DS0035,T1584
DS0035,T1583
DS0035,T1566
DS0035,T1071
DS0035,T1567
DS0008,T1611
DS0008,T1547
DS0028,T1550
DS0028,T1213
DS0028,T1199
DS0028,T1078
DS0028,T0823
DS0028,T0859
DS0028,T0883
DS0028,T1114
DS0028,T1558
DS0028,T1133
DS0028,T1538
DS0028,T0891
DS0028,T0812
DS0028,T1185
DS0028,T0860
DS0028,T1649
DS0028,T0886
DS0028,T0822
DS0028,T1606
DS0028,T1621
DS0028,T0811
DS0028,T1563
DS0028,T1556
DS0028,T1021
DS0004,T1588
DS0004,T1553
DS0004,T1587
DS0011,T1546
DS0011,T1036
DS0011,T1553
DS0011,T0853
DS0011,T1078
DS0011,T0823
DS0011,T1620
DS0011,T1059
DS0011,T1220
DS0011,T1106
DS0011,T1547
DS0011,T1129
DS0011,T1574
DS0011,T1559
DS0011,T1055
DS0011,T0886
DS0011,T1505
DS0011,T1137
DS0011,T1556
DS0011,T1021
DS0011,T1027
DS0011,T1218
DS0023,T1570
DS0033,T1080
DS0033,T0811
DS0033,T1486
DS0033,T1021
DS0033,T1570
DS0033,T1039
DS0033,T0886
DS0033,T0867
DS0029,T1568
DS0029,T1205
DS0029,T1008
DS0029,T1199
DS0029,T1078
DS0029,T0868
DS0029,T1070
DS0029,T0859
DS0029,T1011
DS0029,T1537
DS0029,T0861
DS0029,T0830
DS0029,T1573
DS0029,T1095
DS0029,T0891
DS0029,T0812
DS0029,T0839
DS0029,T1570
DS0029,T0816
DS0029,T1190
DS0029,T0857
DS0029,T1105
DS0029,T1047
DS0029,T0804
DS0029,T1039
DS0029,T0801
DS0029,T1221
DS0029,T1571
DS0029,T0800
DS0029,T1041
DS0029,T0843
DS0029,T1586
DS0029,T1114
DS0029,T1598
DS0029,T0803
DS0029,T0889
DS0029,T0864
DS0029,T1046
DS0029,T1599
DS0029,T0814
DS0029,T1542
DS0029,T0886
DS0029,T0867
DS0029,T0806
DS0029,T1563
DS0029,T1087
DS0029,T0846
DS0029,T1566
DS0029,T0819
DS0029,T0863
DS0029,T1557
DS0029,T1219
DS0029,T1071
DS0029,T0883
DS0029,T1104
DS0029,T1018
DS0029,T0865
DS0029,T1132
DS0029,T0866
DS0029,T1567
DS0029,T1033
DS0029,T1572
DS0029,T0860
DS0029,T0869
DS0029,T1187
DS0029,T1029
DS0029,T1020
DS0029,T0885
DS0029,T0856
DS0029,T0836
DS0029,T0888
DS0029,T1218
DS0029,T1001
DS0029,T0817
DS0029,T1197
DS0029,T1496
DS0029,T0884
DS0029,T1589
DS0029,T1189
DS0029,T1595
DS0029,T1200
DS0029,T0855
DS0029,T1565
DS0029,T0858
DS0029,T1612
DS0029,T1133
DS0029,T0887
DS0029,T1615
DS0029,T1482
DS0029,T0802
DS0029,T1003
DS0029,T1090
DS0029,T1207
DS0029,T0845
DS0029,T1499
DS0029,T1210
DS0029,T0878
DS0029,T0848
DS0029,T0838
DS0029,T0822
DS0029,T1102
DS0029,T1505
DS0029,T1030
DS0029,T1585
DS0029,T1491
DS0029,T1048
DS0029,T1204
DS0029,T1534
DS0029,T1498
DS0029,T1021
DS0029,T1602
DS0029,T0805
DS0029,T1176
DS0040,T0800
DS0040,T0843
DS0040,T0830
DS0040,T0803
DS0040,T0855
DS0040,T0858
DS0040,T0889
DS0040,T0839
DS0040,T0878
DS0040,T0814
DS0040,T0848
DS0040,T0838
DS0040,T0816
DS0040,T0857
DS0040,T0806
DS0040,T0821
DS0040,T0856
DS0040,T0836
DS0040,T0804
DS0040,T0805
DS0021,T1586
DS0021,T1566
DS0021,T1585
DS0014,T1613
DS0014,T1610
DS0009,T1037
DS0009,T0852
DS0009,T1113
DS0009,T1205
DS0009,T1036
DS0009,T1539
DS0009,T1052
DS0009,T1040
DS0009,T1111
DS0009,T1078
DS0009,T0823
DS0009,T1070
DS0009,T1620
DS0009,T1059
DS0009,T0871
DS0009,T1220
DS0009,T0809
DS0009,T0859
DS0009,T1049
DS0009,T1562
DS0009,T1053
DS0009,T0830
DS0009,T1120
DS0009,T1547
DS0009,T1082
DS0009,T1056
DS0009,T1136
DS0009,T1201
DS0009,T1574
DS0009,T1622
DS0009,T0849
DS0009,T1217
DS0009,T1203
DS0009,T1518
DS0009,T1570
DS0009,T0805
DS0009,T1564
DS0009,T0842
DS0009,T0872
DS0009,T0811
DS0009,T1569
DS0009,T1047
DS0009,T0804
DS0009,T1123
DS0009,T1561
DS0009,T1221
DS0009,T1480
DS0009,T1135
DS0009,T1069
DS0009,T1091
DS0009,T0834
DS0009,T1611
DS0009,T1211
DS0009,T1609
DS0009,T0803
DS0009,T1489
DS0009,T1012
DS0009,T1098
DS0009,T1542
DS0009,T0886
DS0009,T0867
DS0009,T1555
DS0009,T0840
DS0009,T1563
DS0009,T1497
DS0009,T1087
DS0009,T0846
DS0009,T1552
DS0009,T1140
DS0009,T1027
DS0009,T1566
DS0009,T1125
DS0009,T0863
DS0009,T1219
DS0009,T1112
DS0009,T0853
DS0009,T1222
DS0009,T1124
DS0009,T1018
DS0009,T0865
DS0009,T1010
DS0009,T1033
DS0009,T1486
DS0009,T1185
DS0009,T1559
DS0009,T1055
DS0009,T1490
DS0009,T1134
DS0009,T1115
DS0009,T1080
DS0009,T0881
DS0009,T1529
DS0009,T1485
DS0009,T1137
DS0009,T0888
DS0009,T1218
DS0009,T1127
DS0009,T1216
DS0009,T0817
DS0009,T1546
DS0009,T1197
DS0009,T1553
DS0009,T1496
DS0009,T1560
DS0009,T1007
DS0009,T1212
DS0009,T1189
DS0009,T1005
DS0009,T1106
DS0009,T1129
DS0009,T1565
DS0009,T1543
DS0009,T1068
DS0009,T1615
DS0009,T1482
DS0009,T1003
DS0009,T1090
DS0009,T1057
DS0009,T0807
DS0009,T1647
DS0009,T1548
DS0009,T1083
DS0009,T1614
DS0009,T1505
DS0009,T1204
DS0009,T1016
DS0009,T0874
DS0009,T0847
DS0009,T1556
DS0009,T1021
DS0009,T1072
DS0009,T1202
DS0009,T1176
DS0003,T1053
DS0003,T0849
DS0003,T1070
DS0003,T1036
DS0012,T0853
DS0012,T1620
DS0012,T1560
DS0012,T1059
DS0012,T1562
DS0012,T1005
DS0012,T1056
DS0012,T1482
DS0012,T1615
DS0012,T0802
DS0012,T1012
DS0012,T1559
DS0012,T1119
DS0012,T1564
DS0012,T1020
DS0012,T0811
DS0012,T0840
DS0012,T1047
DS0012,T1016
DS0012,T1556
DS0012,T1140
DS0012,T1216
DS0013,T1562
DS0013,T1529
DS0013,T1496
DS0013,T1499
DS0013,T1498
DS0013,T1195
DS0019,T0881
DS0019,T1489
DS0019,T1562
DS0019,T1557
DS0019,T1036
DS0019,T1197
DS0019,T0849
DS0019,T0830
DS0019,T1569
DS0019,T1543
DS0019,T1490
DS0019,T1021
DS0019,T1574
DS0019,T1564
DS0020,T1580
DS0020,T1578
DS0020,T1485
DS0020,T1537
DS0002,T1550
DS0002,T1110
DS0002,T1078
DS0002,T1070
DS0002,T0859
DS0002,T1212
DS0002,T1136
DS0002,T1538
DS0002,T1201
DS0002,T1531
DS0002,T1528
DS0002,T1207
DS0002,T1098
DS0002,T1134
DS0002,T1564
DS0002,T1606
DS0002,T1621
DS0002,T1556
DS0002,T1552
DS0034,T1611
DS0034,T1580
DS0034,T1578
DS0034,T1485
DS0006,T1550
DS0006,T1606
DS0006,T1552
DS0024,T1037
DS0024,T1546
DS0024,T1557
DS0024,T1112
DS0024,T1553
DS0024,T1111
DS0024,T1078
DS0024,T1070
DS0024,T1562
DS0024,T1053
DS0024,T0830
DS0024,T1547
DS0024,T1543
DS0024,T1056
DS0024,T1574
DS0024,T1003
DS0024,T1074
DS0024,T1033
DS0024,T1489
DS0024,T1012
DS0024,T1548
DS0024,T1490
DS0024,T1649
DS0024,T1564
DS0024,T1614
DS0024,T1505
DS0024,T0881
DS0024,T0872
DS0024,T1137
DS0024,T1569
DS0024,T0856
DS0024,T1556
DS0024,T1552
DS0024,T1218
DS0024,T1176
DS0005,T1546
