id,name,country,associatedGroup
G0018,admin@338,china,0
G0130,Ajax Security Team,iran,"Operation Woolen-Goldfish, AjaxTM, Rocket Kitten, Flying Kitten, Operation Saffron Rose"
G1000,ALLANITE,russia,Palmetto Fusion
G0138,Andariel,northKorean,Silent Chollima
G1007,Aoqin Dragon,china,0
G0099,APT-C-36,southAmerica,Blind Eagle
G0006,APT1,china,"Comment Crew, Comment Group, Comment Panda"
G0005,APT12,china,"IXESHE, DynCalc, Numbered Panda, DNSCALC"
G0023,APT16,china,0
G0025,APT17,china,Deputy Dog
G0026,APT18,0,"TG-0416, Dynamite Panda, Threat Group-0416"
G0073,APT19,china,"Codoso, C0d0so0, Codoso Team, Sunshop Group"
G0007,APT28,russia,"IRON TWILIGHT, SNAKEMACKEREL, Swallowtail, Group 74, Sednit, Sofacy, Pawn Storm, Fancy Bear, STRONTIUM, Tsar Team, Threat Group-4127, TG-4127"
G0016,APT29,russia,"IRON RITUAL, IRON HEMLOCK, NobleBaron, Dark Halo, StellarParticle, NOBELIUM, UNC2452, YTTRIUM, The Dukes, Cozy Bear, CozyDuke"
G0022,APT3,china,"Gothic Panda, Pirpi, UPS Team, Buckeye, Threat Group-0110, TG-0110"
G0013,APT30,china,0
G0050,APT32,vietnam,"SeaLotus, OceanLotus, APT-C-00"
G0064,APT33,iran,"HOLMIUM, Elfin"
G0067,APT37,northKorean,"Richochet Chollima, InkySquid, ScarCruft, Reaper, Group123, TEMP.Reaper"
G0082,APT38,northKorean,"NICKEL GLADSTONE, BeagleBoyz, Bluenoroff, Stardust Chollima"
G0087,APT39,iran,"ITG07, Chafer, Remix Kitten"
G0096,APT41,china,Wicked Panda
G0143,Aquatic Panda,china,0
G0001,Axiom,china,Group 72
G0135,BackdoorDiplomacy,0,0
G1002,BITTER,southAsian,T-APT-17
G0063,BlackOasis,middleEast,0
G0098,BlackTech,china,Palmerworm
G0108,Blue Mockingbird,0,0
G0097,Bouncing Golf,0,0
G0060,BRONZE BUTLER,china,"REDBALDKNIGHT, Tick"
G0008,Carbanak,0,Anunak
G0114,Chimera,china,0
G0003,Cleaver,iran,"Threat Group 2889, TG-2889"
G0080,Cobalt Group,0,"GOLD KINGSWOOD, Cobalt Gang, Cobalt Spider"
G0142,Confucius,0,Confucius APT
G0052,CopyKittens,iran,0
G0070,Dark Caracal,lebanese,0
G0012,Darkhotel,southKorean,DUBNIUM
G0079,DarkHydrus,0,0
G0105,DarkVishnya,0,0
G0009,Deep Panda,china,"Shell Crew, WebMasters, KungFu Kittens, PinkPanther, Black Vine"
G0035,Dragonfly,russia,"TEMP.Isotope, DYMALLOY, Berserk Bear, TG-4192, Crouching Yeti, IRON LIBERTY, Energetic Bear"
G0017,DragonOK,0,0
G1006,Earth Lusca,china,TAG-22
G0066,Elderwood,china,"Elderwood Gang, Beijing Group, Sneaky Panda"
G1003,Ember Bear,russia,"Saint Bear, UNC2589, UAC-0056, Lorec53, Lorec Bear, Bleeding Bear"
G0020,Equation,0,0
G0120,Evilnum,0,0
G1011,EXOTIC LILY,0,0
G0137,Ferocious Kitten,0,0
G0051,FIN10,0,0
G0085,FIN4,0,0
G0053,FIN5,0,0
G0037,FIN6,0,"Magecart Group 6, ITG08, Skeleton Spider"
G0046,FIN7,0,"GOLD NIAGARA, ITG14, Carbon Spider"
G0061,FIN8,0,0
G0117,Fox Kitten,iran,"UNC757, Parisite, Pioneer Kitten"
G0093,GALLIUM,china,Operation Soft Cell
G0084,Gallmaker,0,0
G0047,Gamaredon Group,russia,"IRON TILDEN, Primitive Bear, ACTINIUM, Armageddon, Shuckworm, DEV-0157"
G0036,GCMAN,0,0
G0115,GOLD SOUTHFIELD,0,0
G0078,Gorgon Group,0,0
G0043,Group5,iran,0
G0125,HAFNIUM,china,Operation Exchange Marauder
G1001,HEXANE,0,"Lyceum, Siamesekitten, Spirlin"
G0126,Higaisa,southKorean,0
G0100,Inception,0,"Inception Framework, Cloud Atlas"
G0136,IndigoZebra,china,0
G0119,Indrik Spider,russia,Evil Corp
G0004,Ke3chang,china,"APT15, Mirage, Vixen Panda, GREF, Playful Dragon, RoyalAPT, NICKEL"
G0094,Kimsuky,northKorean,"STOLEN PENCIL, Thallium, Black Banshee, Velvet Chollima"
G1004,LAPSUS$,0,DEV-0537
G0032,Lazarus Group,northKorean,"Labyrinth Chollima, HIDDEN COBRA, Guardians of Peace, ZINC, NICKEL ACADEMY"
G0140,LazyScripter,0,0
G0077,Leafminer,iran,Raspite
G0065,Leviathan,china,"MUDCARP, Kryptonite Panda, Gadolinium, BRONZE MOHAWK, TEMP.Jumper, APT40, TEMP.Periscope"
G0030,Lotus Blossom,0,"DRAGONFISH, Spring Dragon"
G0095,Machete,iran,"APT-C-43, El Machete"
G0059,Magic Hound,0,"TA453, COBALT ILLUSION, Charming Kitten, ITG18, Phosphorus, Newscaster, APT35"
G0045,menuPass,china,"Cicada, POTASSIUM, Stone Panda, APT10, Red Apollo, CVNX, HOGFISH"
G0002,Moafee,china,0
G0103,Mofang,china,0
G0021,Molerats,0,"Operation Molerats, Gaza Cybergang"
G1009,Moses Staff,iran,0
G0069,MuddyWater,iran,"Earth Vetala, MERCURY, Static Kitten, Seedworm, TEMP.Zagros"
G0129,Mustang Panda,china,"TA416, RedDelta, BRONZE PRESIDENT"
G0019,Naikon,china,0
G0055,NEODYMIUM,0,0
G0133,Nomadic Octopus,russia,DustSquad
G0049,OilRig,iran,"COBALT GYPSY, IRN2, APT34, Helix Kitten"
G0071,Orangeworm,0,0
G0040,Patchwork,0,"Hangover Group, Dropping Elephant, Chinastrats, MONSOON, Operation Hangover"
G0011,PittyTiger,china,0
G0068,PLATINUM,lebanese,0
G1005,POLONIUM,0,0
G0033,Poseidon Group,0,0
G0056,PROMETHIUM,0,StrongPity
G0024,Putter Panda,china,"APT2, MSUpdater"
G0075,Rancor,0,0
G0106,Rocke,china,0
G0048,RTM,0,0
G0034,Sandworm Team,russia,"ELECTRUM, Telebots, IRON VIKING, BlackEnergy (Group), Quedagh, Voodoo Bear"
G0029,Scarlet Mimic,0,0
G1008,SideCopy,pakistan,0
G0121,Sidewinder,india,"T-APT-04, Rattlesnake"
G0091,Silence,0,Whisper Spider
G0122,Silent Librarian,iran,"TA407, COBALT DICKENS"
G0083,SilverTerrier,nigerian,0
G0054,Sowbug,0,0
G0038,Stealth Falcon,uae,0
G0041,Strider,0,ProjectSauron
G0039,Suckfly,china,0
G0062,TA459,china,0
G0092,TA505,0,Hive0065
G0127,TA551,0,"GOLD CABIN, Shathak"
G0139,TeamTNT,0,0
G0088,TEMP.Veles,russia,XENOTIME
G0089,The White Company,0,0
G0028,Threat Group-1314,0,TG-1314
G0027,Threat Group-3390,china,"Earth Smilodon, TG-3390, Emissary Panda, BRONZE UNION, APT27, Iron Tiger, LuckyMouse"
G0076,Thrip,0,0
G0131,Tonto Team,china,"Earth Akhlut, BRONZE HUNTLEY, CactusPete, Karma Panda"
G0134,Transparent Tribe,pakistan,"COPPER FIELDSTONE, APT36, Mythic Leopard, ProjectM"
G0081,Tropic Trooper,0,"Pirate Panda, KeyBoy"
G0010,Turla,russia,"IRON HUNTER, Group 88, Belugasturgeon, Waterbug, WhiteBear, Snake, Krypton, Venomous Bear"
G0123,Volatile Cedar,lebanese,Lebanese Cedar
G0107,Whitefly,0,0
G0124,Windigo,0,0
G0112,Windshift,0,Bahamut
G0044,Winnti Group,china,Blackfly
G0090,WIRTE,0,0
G0102,Wizard Spider,russia,"UNC1878, TEMP.MixMaster, Grim Spider"
G0128,ZIRCONIUM,china,APT31
